latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
30.636,114.442,301.6,1,1,2019-01-22,0305,T,48,6.0NRT,287.5,4.9,D
30.081,113.588,300,1.1,1,2019-01-22,0305,T,15,6.0NRT,282.9,6.4,D
29.18,117.346,310.3,1.1,1,2019-01-22,0305,T,70,6.0NRT,282.9,13.9,D
29.178,117.358,311.2,1.1,1,2019-01-22,0305,T,71,6.0NRT,281.8,14.7,D
29.743,112.021,301.2,1.2,1.1,2019-01-22,0305,T,34,6.0NRT,285.6,8.2,D
29.741,112.034,306.8,1.2,1.1,2019-01-22,0305,T,56,6.0NRT,286.4,12,D
28.323,116.926,322.4,1.1,1,2019-01-22,0305,T,82,6.0NRT,285,23,D
28.317,116.918,304.4,1.1,1,2019-01-22,0305,T,59,6.0NRT,284.5,8.8,D
28.251,117.211,311.5,1.1,1.1,2019-01-22,0305,T,71,6.0NRT,283.2,14.1,D
28.221,117.274,304,1.1,1.1,2019-01-22,0305,T,58,6.0NRT,283.3,9.3,D
25.304,118.378,302.9,1.4,1.2,2019-01-22,0305,T,54,6.0NRT,287.1,9.7,D
24.91,118.814,300.7,1.5,1.2,2019-01-22,0305,T,19,6.0NRT,286.8,4.7,D
24.867,116.222,305.7,1.1,1,2019-01-22,0305,T,55,6.0NRT,287.4,7.8,D
24.865,116.233,302.1,1.1,1,2019-01-22,0305,T,27,6.0NRT,287.1,5.9,D
24.858,116.221,302.9,1.1,1,2019-01-22,0305,T,19,6.0NRT,287,6,D
24.702,115.982,306,1.1,1,2019-01-22,0305,T,56,6.0NRT,287,8.9,D
24.102,114.743,302.4,1,1,2019-01-22,0305,T,35,6.0NRT,288.2,5.2,D
23.959,113.969,304.9,1,1,2019-01-22,0305,T,60,6.0NRT,286.2,7.8,D
23.951,113.968,305.7,1,1,2019-01-22,0305,T,62,6.0NRT,289.3,8.4,D
23.931,113.601,301.1,1,1,2019-01-22,0305,T,18,6.0NRT,285.7,4.7,D
23.929,113.61,326.7,1,1,2019-01-22,0305,T,85,6.0NRT,287.3,25.7,D
23.92,113.609,312.6,1,1,2019-01-22,0305,T,73,6.0NRT,286.6,12.8,D
23.079,115.382,302.6,1.1,1,2019-01-22,0305,T,34,6.0NRT,290.5,4.5,D
22.941,115.885,302.3,1.1,1.1,2019-01-22,0305,T,52,6.0NRT,291.6,4.1,D
