latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-0.86525,131.30342,329.2,0.42,0.46,2019-01-22,0418,N,nominal,1.0NRT,293.3,2.3,D
6.07583,124.44629,342.5,0.48,0.65,2019-01-22,0418,N,nominal,1.0NRT,287,5,D
6.50063,124.5659,341.5,0.46,0.64,2019-01-22,0418,N,nominal,1.0NRT,286.3,5.8,D
7.75341,124.88184,332.1,0.42,0.61,2019-01-22,0418,N,nominal,1.0NRT,286.7,3.6,D
12.93378,120.98847,330.1,0.61,0.71,2019-01-22,0418,N,nominal,1.0NRT,293.2,6.3,D
13.10004,120.8868,339.4,0.62,0.71,2019-01-22,0418,N,nominal,1.0NRT,292.8,5.2,D
13.45699,120.36614,329.9,0.66,0.73,2019-01-22,0418,N,nominal,1.0NRT,294.5,6.7,D
15.02849,120.5764,327.2,0.59,0.7,2019-01-22,0418,N,nominal,1.0NRT,293.2,3.3,D
15.24639,121.08563,327.8,0.55,0.68,2019-01-22,0418,N,nominal,1.0NRT,290.2,3.1,D
15.2452,121.0801,328.8,0.55,0.68,2019-01-22,0418,N,nominal,1.0NRT,291.7,3.1,D
15.24576,120.42915,332.7,0.6,0.71,2019-01-22,0418,N,nominal,1.0NRT,292.3,4.8,D
15.50174,120.36732,341,0.6,0.71,2019-01-22,0418,N,nominal,1.0NRT,292.5,4.3,D
15.50105,120.36514,333.5,0.6,0.71,2019-01-22,0418,N,nominal,1.0NRT,292.6,5.7,D
16.96296,120.79795,325.6,0.53,0.67,2019-01-22,0418,N,nominal,1.0NRT,293.2,5,D
17.10656,120.84631,367,0.52,0.67,2019-01-22,0418,N,high,1.0NRT,292.7,12,D
17.1078,120.85208,330,0.52,0.67,2019-01-22,0418,N,nominal,1.0NRT,291,12,D
17.11422,120.85223,346.8,0.52,0.67,2019-01-22,0418,N,nominal,1.0NRT,289.4,7.9,D
17.10676,120.84848,367,0.52,0.67,2019-01-22,0418,N,high,1.0NRT,293.7,31.8,D
-6.81294,143.73567,343.3,0.42,0.45,2019-01-22,0412,N,nominal,1.0NRT,292.2,8.2,D
-4.33112,143.14989,333.1,0.42,0.45,2019-01-22,0412,N,nominal,1.0NRT,289.1,4.5,D
-2.96515,141.2301,334.2,0.51,0.41,2019-01-22,0412,N,nominal,1.0NRT,294,4.9,D
-1.04927,135.91299,328.2,0.39,0.36,2019-01-22,0412,N,nominal,1.0NRT,294.3,3.5,D
24.20375,117.75594,333.8,0.57,0.69,2019-01-22,0424,N,nominal,1.0NRT,287.3,4.3,D
24.63257,118.22536,326.5,0.53,0.67,2019-01-22,0424,N,nominal,1.0NRT,290.4,3.1,D
30.15722,122.16684,342.9,0.47,0.48,2019-01-22,0424,N,nominal,1.0NRT,285.5,8.6,D
30.15751,122.16852,343,0.47,0.48,2019-01-22,0424,N,nominal,1.0NRT,285.5,7.1,D
28.96423,115.97314,337.9,0.56,0.69,2019-01-22,0424,N,nominal,1.0NRT,284.4,3.7,D
30.44384,116.92866,333.9,0.46,0.64,2019-01-22,0424,N,nominal,1.0NRT,285.1,4.5,D
30.95796,114.57607,367,0.6,0.71,2019-01-22,0424,N,low,1.0NRT,287.8,10,D
30.96426,114.57369,339.8,0.6,0.71,2019-01-22,0424,N,nominal,1.0NRT,284.7,5,D
30.95611,114.5741,328.7,0.6,0.71,2019-01-22,0424,N,nominal,1.0NRT,285.1,3.1,D
30.96243,114.57179,352.1,0.6,0.71,2019-01-22,0424,N,nominal,1.0NRT,286,7.2,D
30.62279,113.281,327,0.72,0.76,2019-01-22,0424,N,nominal,1.0NRT,287.8,3.1,D
30.99689,114.54544,346.4,0.6,0.71,2019-01-22,0424,N,nominal,1.0NRT,286.5,8.8,D
30.95911,114.38469,356.2,0.62,0.71,2019-01-22,0424,N,nominal,1.0NRT,285.3,10.3,D
30.78343,113.17556,328.1,0.73,0.76,2019-01-22,0424,N,nominal,1.0NRT,286.7,4.2,D
30.83028,113.20745,335.1,0.72,0.76,2019-01-22,0424,N,nominal,1.0NRT,287.3,5.1,D
12.21334,106.82254,336.8,0.41,0.37,2019-01-22,0600,N,low,1.0NRT,308.3,2,D
3.99666,114.5631,338.2,0.52,0.42,2019-01-22,0600,N,nominal,1.0NRT,280.7,7.4,D
4.00049,114.56255,336.6,0.52,0.42,2019-01-22,0600,N,nominal,1.0NRT,279.7,5.9,D
4.00606,114.54709,336,0.52,0.42,2019-01-22,0600,N,nominal,1.0NRT,277.7,8.8,D
4.00537,114.5424,331.8,0.52,0.42,2019-01-22,0600,N,nominal,1.0NRT,277.1,5,D
3.87574,108.17085,341.2,0.42,0.38,2019-01-22,0600,N,nominal,1.0NRT,297.6,22.8,D
3.37192,102.93288,336.4,0.58,0.52,2019-01-22,0600,N,nominal,1.0NRT,277.4,7,D
5.91255,100.62119,332.9,0.38,0.59,2019-01-22,0600,N,nominal,1.0NRT,272.5,4.8,D
9.53276,105.39198,330.6,0.49,0.41,2019-01-22,0600,N,nominal,1.0NRT,296.9,3.2,D
9.97171,107.97195,330.8,0.39,0.36,2019-01-22,0600,N,nominal,1.0NRT,294.1,2.4,D
9.79555,105.97638,331.8,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,296.6,2.1,D
9.84311,106.19354,337.8,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,302.9,3.6,D
9.94574,105.9537,330.8,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,295.7,4.6,D
9.94934,105.95311,345.4,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,298.9,4.6,D
9.96079,105.95552,339.3,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,299,6.5,D
10.38576,108.50732,335.6,0.39,0.36,2019-01-22,0600,N,nominal,1.0NRT,292.2,5.5,D
10.72744,107.84635,349.1,0.39,0.36,2019-01-22,0600,N,nominal,1.0NRT,302.5,5.5,D
10.72719,107.54717,342.2,0.4,0.37,2019-01-22,0600,N,nominal,1.0NRT,299.9,5.8,D
10.46658,105.78191,332.5,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,296.8,5.2,D
10.45992,105.7181,336.8,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,296.1,4.3,D
10.52309,105.92656,343.7,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,301.3,7.6,D
10.53936,105.9366,330.3,0.45,0.39,2019-01-22,0600,N,low,1.0NRT,302.2,2.6,D
10.54716,105.93955,352,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,302.8,7.9,D
10.54585,105.9313,346.9,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,301,13.2,D
10.55073,105.93896,338.3,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,303,7.7,D
10.54942,105.9398,344,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,303.1,10.2,D
10.54874,105.93568,333.6,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,300.8,9.4,D
10.54807,105.93156,341.7,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,300.7,9.4,D
