latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,_version,bright_1,frp,daynight
-3.027,115.165,319.5,2.6,1.5,2019-03-11,03:15:00,T,75,6.0NRT,289.4,56.7,D
21.513,106.153,307.1,2.3,1.5,2019-03-11,03:10:00,T,58,6.0NRT,293,16.6,D
21.517,106.146,306.4,2.3,1.5,2019-03-11,03:10:00,T,55,6.0NRT,293.1,14.9,D
18.529,103.671,310.5,3.3,1.7,2019-03-11,03:10:00,T,62,6.0NRT,297.4,27.7,D
17.875,104.343,326.2,2.8,1.6,2019-03-11,03:10:00,T,80,6.0NRT,300,74.7,D
17.887,104.337,316.5,2.8,1.6,2019-03-11,03:10:00,T,62,6.0NRT,299.4,32.1,D
17.884,104.364,315.3,2.8,1.6,2019-03-11,03:10:00,T,53,6.0NRT,299.6,28.2,D
17.873,104.336,319.5,2.8,1.6,2019-03-11,03:10:00,T,55,6.0NRT,299.9,41.8,D
17.298,104.071,318.7,2.9,1.6,2019-03-11,03:10:00,T,51,6.0NRT,304.3,31,D
17.42,101.508,316.6,4.6,2,2019-03-11,03:10:00,T,54,6.0NRT,300.9,68.6,D
16.841,104.839,335,2.5,1.5,2019-03-11,03:10:00,T,85,6.0NRT,303.9,92.3,D
16.833,104.832,328.7,2.5,1.5,2019-03-11,03:10:00,T,79,6.0NRT,303.8,60.9,D
16.553,106.432,318.4,1.9,1.3,2019-03-11,03:10:00,T,60,6.0NRT,298.7,21.5,D
16.573,103.353,319.6,3.2,1.7,2019-03-11,03:10:00,T,34,6.0NRT,305.2,31.7,D
16.573,103.375,323.6,3.2,1.7,2019-03-11,03:10:00,T,42,6.0NRT,304,56.7,D
15.966,106.823,332.5,1.7,1.3,2019-03-11,03:10:00,T,83,6.0NRT,298.7,57,D
15.969,106.816,321.2,1.7,1.3,2019-03-11,03:10:00,T,68,6.0NRT,298.4,29.5,D
15.958,106.815,331.9,1.7,1.3,2019-03-11,03:10:00,T,82,6.0NRT,299,56.8,D
15.965,105.257,324.9,2.3,1.5,2019-03-11,03:10:00,T,73,6.0NRT,307.2,25,D
15.443,105.831,323.2,2,1.4,2019-03-11,03:10:00,T,54,6.0NRT,304.6,20.4,D
15.439,105.843,320.9,2,1.4,2019-03-11,03:10:00,T,58,6.0NRT,304,16.3,D
15.278,106.76,322.2,1.7,1.3,2019-03-11,03:10:00,T,70,6.0NRT,302.7,15.8,D
14.881,105.963,323.2,1.9,1.4,2019-03-11,03:10:00,T,59,6.0NRT,303.4,19.4,D
14.879,105.981,331.8,1.9,1.4,2019-03-11,03:10:00,T,81,6.0NRT,302.7,47.2,D
14.887,105.976,330.1,1.9,1.4,2019-03-11,03:10:00,T,78,6.0NRT,302.7,42.2,D
14.782,106.431,316.4,1.8,1.3,2019-03-11,03:10:00,T,31,6.0NRT,300.5,14,D
15.041,101.534,321.8,4.3,1.9,2019-03-11,03:10:00,T,53,6.0NRT,305.5,58,D
14.241,108.12,323.7,1.3,1.1,2019-03-11,03:10:00,T,74,6.0NRT,299.8,16.4,D
14.27,104.738,325.2,2.3,1.5,2019-03-11,03:10:00,T,70,6.0NRT,304.1,25,D
13.925,107.16,320.3,1.5,1.2,2019-03-11,03:10:00,T,60,6.0NRT,298.9,17.4,D
13.914,107.158,319.1,1.5,1.2,2019-03-11,03:10:00,T,54,6.0NRT,299,14.7,D
13.923,107.153,318.9,1.5,1.2,2019-03-11,03:10:00,T,48,6.0NRT,298.7,14.1,D
14.084,104.358,322.8,2.5,1.5,2019-03-11,03:10:00,T,36,6.0NRT,303.2,22.5,D
13.291,106.381,336.2,1.7,1.3,2019-03-11,03:10:00,T,82,6.0NRT,303,50,D
13.294,106.374,334.9,1.7,1.3,2019-03-11,03:10:00,T,81,6.0NRT,303.5,47,D
13.147,104.986,322.5,2.2,1.4,2019-03-11,03:10:00,T,50,6.0NRT,301.4,33.1,D
12.723,105.699,328.1,1.9,1.3,2019-03-11,03:10:00,T,73,6.0NRT,303.3,36.7,D
12.73,105.693,321.4,1.9,1.3,2019-03-11,03:10:00,T,13,6.0NRT,301.7,18.9,D
12.58,106.054,324.5,1.8,1.3,2019-03-11,03:10:00,T,69,6.0NRT,305,14.4,D
12.372,106.415,338.8,1.6,1.3,2019-03-11,03:10:00,T,87,6.0NRT,305.6,51.3,D
12.573,104.889,322.4,2.2,1.4,2019-03-11,03:10:00,T,20,6.0NRT,301.8,20.1,D
12.373,106.408,333.1,1.6,1.3,2019-03-11,03:10:00,T,82,6.0NRT,305.9,33.5,D
12.371,106.423,328.1,1.6,1.3,2019-03-11,03:10:00,T,72,6.0NRT,305,18.3,D
11.698,106.23,319.8,1.7,1.3,2019-03-11,03:10:00,T,36,6.0NRT,302.4,13.2,D
11.576,103.976,321.3,2.5,1.5,2019-03-11,03:10:00,T,29,6.0NRT,302.1,22.7,D
11.58,103.991,326.2,2.4,1.5,2019-03-11,03:10:00,T,67,6.0NRT,302.9,42.6,D
11.017,104.307,323.9,2.3,1.5,2019-03-11,03:10:00,T,64,6.0NRT,303.2,38.7,D
10.661,105.246,324.3,1.9,1.3,2019-03-11,03:10:00,T,61,6.0NRT,304,35,D
12.039,124.995,311.2,2.9,1.6,2019-03-11,04:35:00,A,41,6.0NRT,286.8,31.7,D
12.027,124.991,311.6,2.9,1.6,2019-03-11,04:35:00,A,42,6.0NRT,286.8,33.7,D
12.12,124.749,310.9,3,1.6,2019-03-11,04:35:00,A,45,6.0NRT,291.6,26.9,D
16.289,121.378,315.5,4.4,1.9,2019-03-11,04:35:00,A,64,6.0NRT,299,75.9,D
16.291,121.37,316.8,4.4,1.9,2019-03-11,04:35:00,A,67,6.0NRT,299.1,82.8,D
16.999,120.978,315.6,4.6,2,2019-03-11,04:35:00,A,60,6.0NRT,295.7,97.6,D
17,120.972,312,4.6,2,2019-03-11,04:35:00,A,52,6.0NRT,295.9,76.7,D
17.389,121.271,312.8,4.3,1.9,2019-03-11,04:35:00,A,56,6.0NRT,295.6,56.9,D
17.392,121.261,314.6,4.3,1.9,2019-03-11,04:35:00,A,62,6.0NRT,295.6,69.5,D
17.507,121.116,320.8,4.4,1.9,2019-03-11,04:35:00,A,73,6.0NRT,292.5,135.7,D
17.51,121.11,312.8,4.4,1.9,2019-03-11,04:35:00,A,44,6.0NRT,291.6,69.6,D
18.09,121.38,313.5,4.1,1.9,2019-03-11,04:35:00,A,58,6.0NRT,294.9,49.9,D
18.079,121.379,312.3,4.1,1.9,2019-03-11,04:35:00,A,54,6.0NRT,294.6,44.3,D
-2.912,129.289,310,2.4,1.5,2019-03-11,04:30:00,A,61,6.0NRT,287.8,20.9,D
-3.033,115.158,314.5,2.6,1.5,2019-03-11,03:15:00,T,24,6.0NRT,289.2,35.3,D
-6.955,107.792,317.7,1,1,2019-03-11,03:15:00,T,60,6.0NRT,294.2,9.3,D
-6.965,107.802,311.7,1,1,2019-03-11,03:15:00,T,40,6.0NRT,290.6,6.6,D
-7.397,109.699,316.7,1.2,1.1,2019-03-11,03:15:00,T,68,6.0NRT,296.1,10.3,D
